tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,total_amount,trip_distance,trip_duration
2022-01-01 00:13:17,2022-01-01 00:18:10,1.0,9.8,1.14,4
2022-01-01 00:18:44,2022-01-01 00:23:44,1.0,10.3,1.5,5
2022-01-01 00:52:34,2022-01-01 00:56:03,1.0,10.56,0.94,3
2022-01-01 00:40:22,2022-01-01 00:44:39,1.0,8.8,0.66,4
2022-01-01 00:49:33,2022-01-01 00:51:28,1.0,7.8,0.5,1
2022-01-01 00:30:18,2022-01-01 00:34:53,5.0,9.8,1.47,4
2022-01-01 00:38:53,2022-01-01 00:44:20,1.0,10.8,1.8,5
2022-01-01 00:30:32,2022-01-01 00:32:11,1.0,7.8,0.6,1
2022-01-01 00:26:42,2022-01-01 00:31:11,2.0,11.8,1.0,4
2022-01-01 00:57:48,2022-01-01 01:01:54,2.0,9.8,0.8,4
2022-01-01 00:59:44,2022-01-01 01:01:30,1.0,7.3,0.52,1
2022-01-01 00:17:13,2022-01-01 00:28:51,1.0,14.3,1.98,11
2022-01-01 00:50:57,2022-01-01 00:54:59,1.0,12.05,1.1,4
2022-01-01 00:35:55,2022-01-01 00:39:51,2.0,8.8,1.01,3
2022-01-01 00:11:16,2022-01-01 00:14:03,0.0,9.13,0.7,2
2022-01-01 00:25:16,2022-01-01 00:33:21,1.0,15.99,1.68,8
2022-01-01 00:38:20,2022-01-01 00:40:54,2.0,9.75,0.54,2
2022-01-01 00:05:14,2022-01-01 00:10:56,1.0,13.5,1.57,5
2022-01-01 01:56:34,2022-01-01 02:00:46,4.0,12.7,1.4,4
2022-01-01 01:50:49,2022-01-01 01:55:28,2.0,12.36,1.5,4
2022-01-01 01:01:24,2022-01-01 01:18:14,3.0,21.35,3.4,16
2022-01-01 01:25:16,2022-01-01 01:29:55,1.0,11.15,0.8,4
2022-01-01 01:15:37,2022-01-01 01:20:49,2.0,10.7,0.0,5
2022-01-01 01:48:48,2022-01-01 01:50:57,1.0,9.36,0.46,2
2022-01-01 01:08:26,2022-01-01 01:11:57,1.0,10.12,1.1,3
2022-01-01 01:08:53,2022-01-01 01:14:23,1.0,14.0,1.7,5
